moment,agency,social
I taught my dog to restrain himself from eating food in front of him,yes,no
I got a promotion at work to a new position.,yes,no
I made a new friend in my favorite online video game.,yes,yes
I perfected a recipe I have been trying to get right for months.,yes,no
I passed a difficult test in school.,yes,no
Went to Ooty for this summer holidays,yes,no
My husband getting his own office at work,no,yes
Bought a new bike of royal Enfield,yes,no
I helped a patient at work with a difficult situation and she hugged me on the way out and told me what a good nurse I am.,yes,yes
My boyfriend and I played lazer tag with his daughters this past weekend.,yes,yes
The day my best friend asked me to be his best man in his wedding.,no,yes
I WENT TO SHOPPING,yes,no
I WENT TO SHOPPING,yes,no
"I watched my son do well in his gymnstics class, and he smiled as me and felt good about himself.",yes,yes
My cat slept with me.,yes,yes
I am very happy when my wife got a new job as per her requirement.,no,yes
I WENT TO SHOPPING,yes,no
My son has won an award two months back for state level competition in the abacus which made me feel happy,no,yes
I was happy when I made an important professional connection at an art opening last week.,yes,no
I finished my semester with good grades in all my classes.,yes,no
i had helped my dad in farming.,yes,yes
An event that made me happy was baking treats for my friends and family.,yes,yes
MY FAMILY VISITED TO ARIYAMAN BEACH NEAR RAMANATHAPURAM,yes,yes
My Mom & Dad coming up from California to visit us.,no,yes
I have reason to believe I've gotten hired on to a work project that will bring in a bit of extra money.,no,no
"Today I received a distant call from one of my childhood friends whom I lost contact long ago.Thanks to facebook, she found my number and called me, making me very happy !",no,yes
I went to a large outdoor concert,yes,no
"My little sister got her CDL""s which made me so proud of her.",no,yes
Receiving a check closing an inactive bank account my grandfather had opened over 30 years earlier.,yes,yes
Last month I received a raise already at my new job.,no,no
Realzing that I am going to graduate college with honors.,yes,no
"After one long, frustrating week, my husband and I finally successfully put together two bookcases and were unable to unpack the rest of the boxes from our move, finally freeing up space on the floor.",yes,yes
I Went to see a new movie with my daughter.,yes,yes
I bought another car for my husband.,yes,yes
I WENT THE TEMPLE.,yes,no
I WENT THE TEMPLE.,yes,no
I met my schoolmate after 33 years and it gave me immense happiness to relive the school days with him.,yes,yes
I was given a 5-star rating from a customer on a transcribing job.,yes,yes
I have a cat and a dog and I felt happy with them.,yes,no
I celebrated my birthday.,yes,no
My wife called me and said she cares me.,no,yes
I took a trip to Florida with my significant other.,yes,yes
My sisters came to visit our home and stay with us for few days during the vacation time.,yes,yes
My relatives come to home yesterday and it is very exciting.,no,yes
I happy I will be expecting my boss back in office today to kick start some of the pending duties.,yes,yes
"My mother sent me a photo of her fairy garden, which she has been working on for quite some time now, and it had three little fairy statues in it to represent me and my two sisters.",no,yes
i got government job.. thats my dream since last 6 years,yes,no
I watched movies with my family.,yes,yes
i got a girlfriend,yes,yes
I bought a new pair of shoes,yes,no
I bought a new car,yes,no
Wife got new job.,no,yes
Last night I was happy to see that one of my favorite shows was on tv.,yes,no
I went to the deli and ordered a drink and I talked my way into getting a free brownie.,yes,yes
"An old friend came over on Cinco De Mayo, and we caught up and had a good time.",no,yes
I went hiking with my friends.,yes,yes
Being able to spend time with family and hanging out with them made me happy.,yes,yes
I received birthday cards in the mail from family,no,yes
"I got a new pet, a bird named oliver and I was very happy for that.",yes,no
My father (who has had two heart attacks) had an appointment with the heart doctor about 3 weeks ago and they told him the stent is holding up fine and everything looks good.,no,yes
I got a book I was looking for on Amazon about a week ago.,yes,no
I saw my grandpa.,yes,yes
hanging out with my brother and watching movies,yes,yes
"I seeded the bare patches in the back yard in light of the wet weather forecast for this week, today we received over 2"" of rain!",yes,no
I was really happy to make a wedding cake for a friend as a gift.,yes,yes
My sons third birthday party .,yes,yes
I got an 104% on my final exam when I thought I would make around a 60%.,yes,no
"I received a rebate check in the mail for a settlement in a case involving an old bank I used to use, so I cashed it so we could go out to dinner.",yes,yes
"I finally timed my new commute correctly today, so I was on time for work instead of running late and feeling frazzled.",yes,no
I found $10 in my jeans pocket that I didn't know was there.,yes,no
I had a fun conversation with a friend,yes,yes
"Found out that my cousin, who is like a sister to me, is pregnant, so I'm gonna be an aunt this December.",no,yes
Getting a job in a sector that I wanted.,yes,no
I had a date night with my wife last Saturday.,yes,yes
Took my wife out for ice cream,yes,yes
I maxed my back squat at 180 pounds!,yes,no
Making a delicious lunch for my wife.,yes,yes
My cat woke me up this morning by lying on my chest and meowing in my face until I gave him attention.,no,no
My friends and I had our first backyard BBQ a few weekends back.,yes,yes
My salary was increased.,yes,no
Bought a rice cooker.,yes,no
A game came out that I enjoy playing.,no,no
"I spent the day at the beach with my sisters, daughter and nieces",yes,yes
I found a house to rent that id close to everything I need.,yes,no
A clerk who works under me and is a frequent problem left work.,no,yes
My boss came to me and hav me a promotion with a $1 raise!,no,yes
I received a book in the mail that I am waiting to read.,yes,no
I found out that I will be receiving a bonus for the hard work that I have been putting in.,yes,no
I found a new show that I like and binge watched it.,yes,no
Look at a nice movie on a night when I could not sleep,yes,no
I had a really good workout yesterday.,yes,no
My boyfriend and I spent time together creating a new vegetable garden in our yard.,yes,yes
